route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
"24-64-j18-1","801","064","","Bus","700"
"24-65-j18-1","801","065","","Bus","700"
"24-66-j18-1","801","066","","Bus","700"
"24-67-j18-1","801","067","","Bus","700"
"11-83-j18-1","801","083","","Bus","700"
"1-1-A-j18-1","11","1","","S-Bahn","400"
"1-1-B-j18-1","11","1","","Intercity","102"
"1-1-C-j18-1","11","1","","S-Bahn","400"
"1-1-D-j18-1","840","1","","Bus","700"
"1-1-E-j18-1","886","1","","Bus","700"
"1-1-j18-1","518","1","","Bus","700"
"4-1-j18-1","11","1","","S-Bahn","400"
"5-1-j18-1","823","1","","Tram","900"
"6-1-A-j18-1","146","1","","Bus","700"
"6-1-B-j18-1","11","1","","Intercity","102"
"6-1-j18-1","33","1","","S-Bahn","400"
"8-1-A-j18-1","834","1","","Bus","700"
"8-1-j18-1","33","1","","S-Bahn","400"
"11-1-A-j18-1","766","1","","Bus","700"
"11-1-B-j18-1","740","1","","Bus","700"
"11-1-C-j18-1","72","1","","S-Bahn","400"
"11-1-j18-1","801","1","","Bus","700"
"12-1-A-j18-1","820","1","","Bus","700"
"12-1-j18-1","11","1","","S-Bahn","400"
"16-1-A-j18-1","11","1","","Intercity","102"
"16-1-j18-1","65","1","","S-Bahn","400"
"17-1-j18-1","836","1","","Bus","700"
"18-1-j18-1","841","1","","Bus","700"
"19-1-j18-1","883","1","","Bus","700"
"20-1-A-j18-1","736","1","","Bus","700"
"20-1-B-j18-1","955","1","","Bus","700"
"20-1-C-j18-1","817","1","","Bus","700"
"20-1-j18-1","801","1","","Bus","700"
"22-1-j18-1","816","1","","Bus","700"
"23-1-j18-1","11","1","","S-Bahn","400"
"24-1-j18-1","801","1","","Bus","700"
"25-1-A-j18-1","839","1","","Bus","700"
"25-1-j18-1","11","1","","S-Bahn","400"
"26-1-A-j18-1","11","1","","S-Bahn","400"
"26-1-j18-1","11","1","","Intercity","102"
"79-1-A-j18-1","797","1","","Bus","700"
"79-1-B-j18-1","766","1","","Bus","700"
"79-1-C-j18-1","11","1","","S-Bahn","400"
"79-1-D-j18-1","06","1","","S-Bahn","400"
"79-1-E-j18-1","885","1","","Bus","700"
"79-1-j18-1","801","1","","Bus","700"
"1-10-j18-1","886","10","","Bus","700"
"4-10-j18-1","37","10","","Tram","900"
"5-10-j18-1","37","10","","Tram","900"
"6-10-j18-1","827","10","","Bus","700"
"11-10-j18-1","766","10","","Bus","700"
"12-10-j18-1","820","10","","Bus","700"
"20-10-A-j18-1","955","10","","Bus","700"
"20-10-j18-1","11","10","","S-Bahn","400"
"21-10-j18-1","65","10","","S-Bahn","400"
"25-10-j18-1","839","10","","Bus","700"
"26-10-j18-1","78","10","","S-Bahn","400"
"79-10-A-j18-1","740","10","","Bus","700"
"79-10-B-j18-1","885","10","","Bus","700"
"79-10-j18-1","78","10","","S-Bahn","400"
"1-100-j18-1","801","100","","Bus","700"
"4-100-j18-1","801","100","","Bus","700"
"6-100-j18-1","801","100","","Bus","700"
"80-100-j18-1","11","100","","RegioExpress","106"
"61-100-Y-j18-1","112","100-Y","","Standseilbahn","1400"
"66-100-Y-j18-1","33","100-Y","","Regionalzug","106"
"80-100-Y-j18-1","06","100-Y","","RegioExpress","106"
"90-100-Y-j18-1","189","100-Y","","Schiff","1000"
"4-101-j18-1","801","101","","Bus","700"
"6-101-j18-1","801","101","","Bus","700"
"12-101-j18-1","839","101","","Bus","700"
"13-101-j18-1","153","101","","Bus","700"
"79-101-A-j18-1","839","101","","Bus","700"
"79-101-j18-1","153","101","","Bus","700"
"61-101-Y-j18-1","112","101-Y","","Standseilbahn","1400"
"66-101-Y-j18-1","137","101-Y","","Regionalzug","106"
"80-101-Y-j18-1","06","101-Y","","RegioExpress","106"
"90-101-Y-j18-1","188","101-Y","","Schiff","1000"
"4-102-j18-1","801","102","","Bus","700"
"6-102-j18-1","801","102","","Bus","700"
"79-102-A-j18-1","153","102","","Bus","700"
"79-102-j18-1","153","102","","Bus","700"
"61-102-Y-j18-1","251","102-Y","","Luftseilbahn","1300"
"66-102-Y-j18-1","137","102-Y","","Regionalzug","106"
"80-102-Y-j18-1","11","102-Y","","RegioExpress","106"
"90-102-Y-j18-1","188","102-Y","","Schiff","1000"
"4-103-j18-1","801","103","","Bus","700"
"6-103-j18-1","801","103","","Bus","700"
"61-103-Y-j18-1","251","103-Y","","Luftseilbahn","1300"
"66-103-Y-j18-1","72","103-Y","","Regionalzug","106"
"80-103-Y-j18-1","33","103-Y","","RegioExpress","106"
"90-103-Y-j18-1","195","103-Y","","Schiff","1000"
"4-104-j18-1","801","104","","Bus","700"
"6-104-j18-1","801","104","","Bus","700"
"61-104-Y-j18-1","251","104-Y","","Luftseilbahn","1300"
"66-104-Y-j18-1","72","104-Y","","Regionalzug","106"
"80-104-Y-j18-1","11","104-Y","","RegioExpress","106"
"90-104-Y-j18-1","183","104-Y","","Schiff","1000"
"4-105-j18-1","879","105","","Bus","700"
"6-105-j18-1","801","105","","Bus","700"
"12-105-j18-1","839","105","","Bus","700"
"61-105-Y-j18-1","251","105-Y","","Luftseilbahn","1300"
"66-105-Y-j18-1","72","105-Y","","Regionalzug","106"
"80-105-Y-j18-1","65","105-Y","","RegioExpress","106"
"90-105-Y-j18-1","183","105-Y","","Schiff","1000"
"4-106-A-j18-1","879","106","","Taxi","1501"
"4-106-j18-1","879","106","","Bus","700"
"6-106-j18-1","801","106","","Bus","700"
"12-106-j18-1","839","106","","Bus","700"
"79-106-j18-1","153","106","","Bus","700"
"61-106-Y-j18-1","134","106-Y","","Standseilbahn","1400"
"66-106-Y-j18-1","11","106-Y","","Regionalzug","106"
"80-106-Y-j18-1","11","106-Y","","RegioExpress","106"
