,0,1
0,24-64-j18-1,Bus
1,24-65-j18-1,Bus
2,24-66-j18-1,Bus
3,24-67-j18-1,Bus
4,11-83-j18-1,Bus
5,1-1-A-j18-1,S-Bahn
6,1-1-B-j18-1,Intercity
7,1-1-C-j18-1,S-Bahn
8,1-1-D-j18-1,Bus
9,1-1-E-j18-1,Bus
10,1-1-j18-1,Bus
11,4-1-j18-1,S-Bahn
12,6-1-A-j18-1,Bus
13,6-1-B-j18-1,Intercity
14,6-1-j18-1,S-Bahn
15,8-1-A-j18-1,Bus
16,8-1-j18-1,S-Bahn
17,11-1-A-j18-1,Bus
18,11-1-B-j18-1,Bus
19,11-1-C-j18-1,S-Bahn
20,11-1-j18-1,Bus
21,12-1-A-j18-1,Bus
22,12-1-j18-1,S-Bahn
23,16-1-A-j18-1,Intercity
24,16-1-j18-1,S-Bahn
25,17-1-j18-1,Bus
26,18-1-j18-1,Bus
27,19-1-j18-1,Bus
28,20-1-A-j18-1,Bus
29,20-1-B-j18-1,Bus
30,20-1-C-j18-1,Bus
31,20-1-j18-1,Bus
32,22-1-j18-1,Bus
33,23-1-j18-1,S-Bahn
34,24-1-j18-1,Bus
35,25-1-A-j18-1,Bus
36,25-1-j18-1,S-Bahn
37,26-1-A-j18-1,S-Bahn
38,26-1-j18-1,Intercity
39,79-1-A-j18-1,Bus
40,79-1-B-j18-1,Bus
41,79-1-C-j18-1,S-Bahn
42,79-1-D-j18-1,S-Bahn
43,79-1-E-j18-1,Bus
44,79-1-j18-1,Bus
45,1-10-j18-1,Bus
46,6-10-j18-1,Bus
47,11-10-j18-1,Bus
48,12-10-j18-1,Bus
49,20-10-A-j18-1,Bus
50,20-10-j18-1,S-Bahn
51,21-10-j18-1,S-Bahn
52,25-10-j18-1,Bus
53,26-10-j18-1,S-Bahn
54,79-10-A-j18-1,Bus
55,79-10-B-j18-1,Bus
56,79-10-j18-1,S-Bahn
57,1-100-j18-1,Bus
58,4-100-j18-1,Bus
59,6-100-j18-1,Bus
60,80-100-j18-1,RegioExpress
61,66-100-Y-j18-1,Regionalzug
62,80-100-Y-j18-1,RegioExpress
63,4-101-j18-1,Bus
64,6-101-j18-1,Bus
65,12-101-j18-1,Bus
66,13-101-j18-1,Bus
67,79-101-A-j18-1,Bus
68,79-101-j18-1,Bus
69,66-101-Y-j18-1,Regionalzug
70,80-101-Y-j18-1,RegioExpress
71,4-102-j18-1,Bus
72,6-102-j18-1,Bus
73,79-102-A-j18-1,Bus
74,79-102-j18-1,Bus
75,66-102-Y-j18-1,Regionalzug
76,80-102-Y-j18-1,RegioExpress
77,4-103-j18-1,Bus
78,6-103-j18-1,Bus
79,66-103-Y-j18-1,Regionalzug
80,80-103-Y-j18-1,RegioExpress
81,4-104-j18-1,Bus
82,6-104-j18-1,Bus
83,66-104-Y-j18-1,Regionalzug
84,80-104-Y-j18-1,RegioExpress
85,4-105-j18-1,Bus
86,6-105-j18-1,Bus
87,12-105-j18-1,Bus
88,66-105-Y-j18-1,Regionalzug
89,80-105-Y-j18-1,RegioExpress
90,4-106-j18-1,Bus
91,6-106-j18-1,Bus
92,12-106-j18-1,Bus
93,79-106-j18-1,Bus
94,66-106-Y-j18-1,Regionalzug
95,80-106-Y-j18-1,RegioExpress
96,4-107-j18-1,Bus
97,6-107-A-j18-1,Bus
98,6-107-j18-1,Bus
99,12-107-j18-1,Bus
100,13-107-j18-1,Bus
101,66-107-Y-j18-1,Regionalzug
102,80-107-Y-j18-1,RegioExpress
103,4-108-j18-1,Bus
104,66-108-Y-j18-1,Regionalzug
105,80-108-Y-j18-1,RegioExpress
106,4-109-j18-1,Bus
107,79-109-j18-1,Bus
108,66-109-Y-j18-1,Regionalzug
109,80-109-Y-j18-1,RegioExpress
110,30-10-Y-j18-1,Bus
111,33-10-Y-j18-1,Bus
112,40-10-Y-j18-1,Eurocity
113,42-10-Y-j18-1,Intercity
114,59-10-Y-j18-1,InterRegio
115,66-10-Y-j18-1,Regionalzug
116,68-10-Y-j18-1,S-Bahn
117,69-10-Y-j18-1,S-Bahn
118,72-10-Y-j18-1,S-Bahn
119,76-10-Y-j18-1,Schnellzug
120,78-10-Y-j18-1,RegioExpress
121,79-10-Y-j18-1,RegioExpress
122,80-10-Y-j18-1,RegioExpress
123,1-11-A-j18-1,Bus
124,1-11-j18-1,Bus
125,6-11-A-j18-1,Bus
126,6-11-j18-1,Bus
127,7-11-j18-1,Bus
128,8-11-j18-1,Bus
129,12-11-j18-1,Bus
130,16-11-A-j18-1,Bus
131,16-11-j18-1,S-Bahn
132,20-11-j18-1,S-Bahn
133,25-11-j18-1,Bus
134,26-11-j18-1,S-Bahn
135,27-11-j18-1,Bus
136,12-110-A-j18-1,Bus
137,12-110-j18-1,Bus
138,20-110-j18-1,Bus
139,25-110-j18-1,Bus
140,66-110-Y-j18-1,Regionalzug
141,80-110-Y-j18-1,RegioExpress
142,6-111-j18-1,Bus
143,12-111-j18-1,Bus
144,19-111-j18-1,Bus
145,20-111-j18-1,Bus
146,23-111-j18-1,Bus
147,24-111-j18-1,Bus
148,79-111-A-j18-1,Bus
149,79-111-j18-1,Bus
150,66-111-Y-j18-1,Regionalzug
151,80-111-Y-j18-1,RegioExpress
152,4-112-j18-1,Bus
153,19-112-j18-1,Bus
154,20-112-j18-1,Bus
155,66-112-Y-j18-1,Regionalzug
156,80-112-Y-j18-1,RegioExpress
157,4-113-j18-1,Bus
158,20-113-j18-1,Bus
159,66-113-Y-j18-1,Regionalzug
160,80-113-Y-j18-1,RegioExpress
161,19-114-j18-1,Bus
162,79-114-j18-1,Bus
163,66-114-Y-j18-1,Regionalzug
164,80-114-Y-j18-1,RegioExpress
165,4-115-j18-1,Bus
166,19-115-j18-1,Bus
167,23-115-j18-1,Bus
168,66-115-Y-j18-1,Regionalzug
169,80-115-Y-j18-1,RegioExpress
170,19-116-j18-1,Bus
171,20-116-j18-1,Bus
172,66-116-Y-j18-1,Regionalzug
173,80-116-Y-j18-1,RegioExpress
