,0
0,8500010:0:3
1,8500020:0:3
2,8500021:0:5
3,8517131:0:2
4,8500300:0:5
5,8500313:0:2
6,8500301:0:3
7,8500302:0:3
8,8500303:0:2
9,8500320:0:3
10,8500304:0:2
11,8500305:0:1
12,8500010:0:6
13,8500010:0:1
14,8500010:0:4
15,8500010:0:9
16,8500309:0:2
17,8500305:0:3
18,8500304:0:1
19,8500320:0:4
20,8500303:0:3
21,8500302:0:2
22,8500301:0:4
23,8500313:0:1
24,8500300:0:4
25,8517131:0:1
26,8500021:0:4
27,8500020:0:1
28,8500305:0:2
29,8503000:0:15
30,8502119:0:3
31,8502113:0:5
32,8500218:0:8
33,8507000:0:5
34,8504100:0:2
35,8501120:0:5
36,8501008:0:2
37,8501026:0:2
38,8503000:0:41/42
39,8503020:0:4
40,8503001:0:3
41,8503509:0:3
42,8503512:0:1
43,8503508:0:3
44,8503506:0:4
45,8503511:0:1
46,8503505:0:5
47,8503504:0:3
48,8503503:0:4
49,8500309:0:5
50,8502237:0:6
51,8502247:0:6
52,8502105:0:4
53,8502114:0:1
54,8502113:0:4
55,8590216
56,8590213
57,8590212
58,8590207
59,8590215
60,8590210
61,8590211
62,8590208
63,8590214
64,8590133
65,8590142
66,8502996
67,8578642
68,8578643
69,8578644
70,8572388
71,8502685
72,8502684
73,8572389
74,8502683
75,8572390
76,8594930
77,8594929
78,8578672
79,8578671
80,8578670
81,8578669
82,8590187
83,8578668
84,8590197
85,8590190:0:2
86,8590192
87,8591708
88,8572581
89,8590300
90,8590312
91,8578678
92,8590303
93,8590306
94,8590295
95,8590299
96,8590315
97,8590313
98,8590316
99,8590317
100,8590314
101,8578679
102,8590309
103,8572580
104,8580638
105,8578914:0:1
106,8578677
107,8502873
108,8572511
109,8578674
110,8502985
111,8503886
112,8590291
113,8503778
114,8578673
115,8590296
116,8590297
117,8590310
118,8572745
119,8502581
120,8572677
121,8572678
122,8572679
123,8572680
124,8502363
125,8572681
126,8502362
127,8577503
128,8594497
129,8502712
130,8572682
131,8502383
132,8572683
133,8502358
134,8589206
135,8589205
136,8502384
137,8502386
138,8572728
139,8590274
140,8590272
141,8590276
142,8590269
143,8590239
144,8500962
145,8572275
146,8572274
147,8500783
148,8572273
149,8572272
150,8572271
151,8572251
152,8572250
153,8572249
154,8580388
155,8572270
156,8594308
157,8594304
158,8594310
159,8594307
160,8594306
161,8594309
162,8594305
163,8502375
164,8590393
165,8581099
166,8572741
167,8502369
168,8572654
169,8502370
170,8502385
171,8502371
172,8502582
173,8502367
174,8502583
175,8502368
176,8502584
177,8502769
178,8502768
179,8502587
180,8572653
181,8502766
182,8594203
183,8594282
184,8502770
185,8502765
186,8502767
187,8595230
188,8581948
189,8589888
190,8572651
191,8572648
192,8572652
193,8572748
194,8583811
195,8583810
196,8581530
197,8581950
198,8581843
199,8581951
200,8581529
201,8581549
202,8581550
203,8572398
204,8572397
205,8500583
206,8572413
207,8500978
208,8572394
209,8500982
210,8572395
211,8577981
212,8572396
213,8572399
214,8572400
215,8581949
216,8500983
217,8572401
218,8582053
219,8572402
220,8572403
221,8572393
222,8572392
223,8500977
224,8572391
225,8500591
226,8502893
227,8502682
228,8500592
229,8572414
230,8572412
231,8500792
232,8572411
233,8572408
234,8572409
235,8572410
236,8500793
237,8582073
238,8572407
239,8500794
240,8572406
241,8500795
242,8500593
243,8572405
244,8500796
245,8502687
246,8500687
247,8502686
248,8500582
249,8500975
250,8572452
251,8572454
252,8572455
253,8572464
254,8500550
255,8500559
256,8500950
257,8572450
258,8583728
259,8583727
260,8581106
261,8581107
262,8500570
263,8500554
264,8572480
265,8500767
266,8572481
267,8572482
268,8500579
269,8572463
270,8500565
271,8572461
272,8572457
273,8572458
274,8572459
275,8500976
276,8572460
277,8572451
278,8500595
279,8500580
280,8500551
281,8502113:0:12
282,8519685
283,8502123:0:1
284,8502103:0:7
285,8502189
286,8502160:0:3
287,8502184
288,8502174:0:1
289,8502161:0:1
290,8516450:0:3
291,8502162
292,8502183
293,8502163:0:1
294,8502164:0:2
295,8502165:0:1
296,8502166:0:2
297,8502167:0:1
298,8502176
299,8502168:0:1
300,8502169:0:1
301,8502103
302,8516450:0:2
303,8502113:0:13
304,8502191
305,8502192:0:2
306,8502196:0:2
307,8502182
308,8502181:0:2
309,8502194
310,8502180
311,8502195:0:2
312,8502179
313,8502178:0:2
314,8502197:0:1
315,8502177
316,8502199:0:1
317,8502192:0:1
318,8502197:0:2
319,8502192
320,8502196:0:1
321,8502199:0:2
322,8502113
323,8502169:0:2
324,8502167:0:2
325,8502163:0:2
326,8502160:0:2
327,8502123:0:2
328,8502164:0:1
329,8572424
330,8500588
331,8572438
332,8581108
333,8500589
334,8580575
335,8572439
336,8572440
337,8572437
338,8500784
339,8572445
340,8572444
341,8500785
342,8572443
343,8500556
344,8500557
345,8580181
346,8580165
347,8572441
348,8500561
349,8572449
350,8500563
351,8500562
352,8500953
353,8572446
354,8500560
355,8500777
356,8572447
357,8572448
358,8500569
359,8500776
360,8572415
361,8580562
362,8572416
363,8572417
364,8572418
365,8572419
366,8572420
367,8572421
368,8572422
369,8582522
370,8557061
371,8580733
372,8572436
373,8583243
374,8500585
375,8572531
376,8572532
377,8572533
378,8572534
379,8572535
380,8572537
381,8580184
382,8572536
383,8580329
384,8580320
385,8581968
386,8572494
387,8503591
388,8581109
389,8503685
390,8572528
391,8503570
392,8572529
393,8503572
394,8503573
395,8503569
396,8572530
397,8500309:0:3
398,8503504:0:1
399,8503000:0:10
400,8503000:0:17
401,8500309:0:4
402,8507000:0:8
403,8500218:0:4
404,8502113:0:2
405,8503000
406,8503000:0:8
407,8503000:0:16
408,8507000:0:9
409,8503000:0:18
410,8503000:0:14
411,8503000:0:12
412,8507000:0:10
413,8500218:0:2
414,8500218:0:3
415,8507000:0:7
416,8502273:0:1
417,8502248
418,8502185
419,8502272:0:2
420,8502269:0:2
421,8502271
422,8502213:0:11
423,8517377:0:2
424,8502274
425,8502188:0:1
426,8502275
427,8502268
428,8502276:0:1
429,8502187:0:1
430,8502277:0:1
431,8502278:0:1
432,8502186:0:1
433,8502270
434,8517376
435,8503508:0:11
436,8502272:0:3
437,8502186:0:2
438,8502187:0:2
439,8502276:0:2
440,8502188:0:2
441,8517377:0:1
442,8502269
443,8502213:0:12
444,8502273:0:2
445,8578914
446,8572387
447,8590184
448,8590177
449,8590169
450,8590179
451,8590250
452,8590246
453,8590247
454,8590244
455,8590248
456,8590249
457,8590245
458,8590240
459,8590396
460,8590278
461,8590277
462,8590271
463,8590279
464,8590275
465,8578914:0:5
466,8590174
467,8590172
468,8590235
469,8572572
470,8590395
471,8595203
472,8503875
473,8590251
474,8572574
475,8590252
476,8503767
477,8572575
478,8503779
479,8572576
480,8572577
481,8503777
482,8572578
483,8503776
484,8578914:0:6
485,8578914:0:3
486,8590261
487,8590257
488,8590259
489,8590258
490,8590260
491,8590151
492,8590138
493,8590156
494,8590134
495,8578645
496,8578646
497,8578647
498,8578007
499,8578649
500,8578650
501,8578651
502,8578652
503,8578653
504,8578654
505,8578655
506,8500599
507,8578657
508,8573726
509,8583805
510,8581666
511,8573725
512,8583206
513,8573720
514,8573723
515,8583071
516,8572603
517,8502879
518,8570706
519,8572605
520,8582790
521,8583363
522,8582104
523,8502883
524,8573193
525,8581015
526,8573178
527,8573722
528,8573721
529,8503598
530,8583755
531,8502876
532,8573719
533,8502950
534,8583870
535,8573718
536,8572744
537,8581669
538,8572610
539,8582054
540,8502565
541,8502558
542,8572609
543,8502890
544,8502556
545,8572608
546,8502555
547,8502960
548,8583481
549,8502778
550,8583482
551,8502884
552,8573195
553,8583890
554,8503504:0:2
555,8502119:0:4
556,8502112:0:1
557,8502111:0:2
558,8502110:0:4
559,8500218:0:9
560,8502000:0:3
561,8508103:0:1
562,8508102:0:2
563,8508101:0:3
564,8508100:0:1
565,8502110:0:3
566,8502111:0:4
567,8502112:0:2
568,8502114:0:4
569,8502119:0:2
570,8502247:0:5
571,8502237:0:5
572,8503503:0:3
573,8503504:0:5
574,8508101:0:4
575,8508102:0:1
576,8508103:0:4
577,8502000:0:1
578,8502113:0:1
579,8502119:0:1
580,8500218
581,8500218:0:12
582,8500218:0:11
583,8502113:0:6
584,8502110:0:1
585,8502955
586,8502553
587,8572601
588,8572600
589,8582462
590,8502878
591,8572747
592,8572602
593,8572646
594,8502570
595,8572647
596,8502571
597,8573710
598,8591341
599,8502572
600,8580912
601,8503610
602,8573711
603,8503709
604,8503699
605,8503580
606,8503698
607,8580302
608,8502567
609,8502566
610,8502577
611,8502559
612,8502215:0:3
613,8502213:0:3
614,8502212:0:1
615,8502211:0:2
