,stop_id,stop_name,stop_lat,stop_lon
0,8500010:0:3,Basel SBB,47,7
1,8500020:0:3,Muttenz,47,7
2,8500021:0:5,Pratteln,47,7
3,8517131:0:2,Pratteln Salina Raurica,47,7
4,8500300:0:5,Kaiseraugst,47,7
5,8500313:0:2,Rheinfelden Augarten,47,7
6,8500301:0:3,Rheinfelden,47,7
7,8500302:0:3,Möhlin,47,7
8,8500303:0:2,Mumpf,47,7
9,8500320:0:3,Stein-Säckingen,47,7
10,8500304:0:2,Eiken,47,7
11,8500305:0:1,Frick,47,8
12,8500010:0:6,Basel SBB,47,7
13,8500010:0:1,Basel SBB,47,7
14,8500010:0:4,Basel SBB,47,7
15,8500010:0:9,Basel SBB,47,7
16,8500309:0:2,Brugg AG,47,8
17,8500305:0:3,Frick,47,8
18,8500304:0:1,Eiken,47,7
19,8500320:0:4,Stein-Säckingen,47,7
20,8500303:0:3,Mumpf,47,7
21,8500302:0:2,Möhlin,47,7
22,8500301:0:4,Rheinfelden,47,7
23,8500313:0:1,Rheinfelden Augarten,47,7
24,8500300:0:4,Kaiseraugst,47,7
25,8517131:0:1,Pratteln Salina Raurica,47,7
26,8500021:0:4,Pratteln,47,7
27,8500020:0:1,Muttenz,47,7
28,8500305:0:2,Frick,47,8
29,8503000:0:15,Zürich HB,47,8
30,8502119:0:3,Lenzburg,47,8
31,8502113:0:5,Aarau,47,8
32,8500218:0:8,Olten,47,7
33,8507000:0:5,Bern,46,7
34,8504100:0:2,Fribourg/Freiburg,46,7
35,8501120:0:5,Lausanne,46,6
36,8501008:0:2,Genève,46,6
37,8501026:0:2,Genève-Aéroport,46,6
38,8503000:0:41/42,Zürich HB,47,8
39,8503020:0:4,Zürich Hardbrücke,47,8
40,8503001:0:3,Zürich Altstetten,47,8
41,8503509:0:3,Schlieren,47,8
42,8503512:0:1,Glanzenberg,47,8
43,8503508:0:3,Dietikon,47,8
44,8503506:0:4,Killwangen-Spreitenbach,47,8
45,8503511:0:1,Neuenhof,47,8
46,8503505:0:5,Wettingen,47,8
47,8503504:0:3,Baden,47,8
48,8503503:0:4,Turgi,47,8
49,8500309:0:5,Brugg AG,47,8
50,8502237:0:6,Lupfig,47,8
51,8502247:0:6,Birr,47,8
52,8502105:0:4,Othmarsingen,47,8
53,8502114:0:1,Rupperswil,47,8
54,8502113:0:4,Aarau,47,8
55,8590216,"Buchs AG, Wynenfeld",47,8
56,8590213,"Buchs AG, Industrie",47,8
57,8590212,"Buchs AG, Heuweg",47,8
58,8590207,"Buchs AG, Altersheim",47,8
59,8590215,"Buchs AG, Trieschweg",47,8
60,8590210,"Buchs AG, Fabrikweg",47,8
61,8590211,"Buchs AG, Gysistrasse",47,8
62,8590208,"Buchs AG, Brauerei",47,8
63,8590214,"Buchs AG, Torfeld",47,8
64,8590133,"Aarau, Bavaria",47,8
65,8590142,"Aarau, Gais",47,8
66,8502996,"Aarau, Bahnhof",47,8
67,8578642,"Aarau, Kunsthaus",47,8
68,8578643,"Aarau, Holzmarkt",47,8
69,8578644,"Aarau, Rathaus",47,8
70,8572388,"Aarau, Aarepark",47,8
71,8502685,"Rombach, Rombacherhof",47,8
72,8502684,"Küttigen, Hinterrain",47,8
73,8572389,"Küttigen, Stock",47,8
74,8502683,"Küttigen, Post",47,8
75,8572390,"Küttigen, Kreuz",47,8
76,8594930,"Aarau, Kettenbrücke",47,8
77,8594929,"Aarau, Kasinopark",47,8
78,8578672,"Baden, Ruschebach",47,8
79,8578671,"Baden, Ifang",47,8
80,8578670,"Baden, Kapelle",47,8
81,8578669,"Baden, Schellenacker",47,8
82,8590187,"Baden, Römerstrasse",47,8
83,8578668,"Baden, Bruggerstrasse",47,8
84,8590197,"Baden, Trafo",47,8
85,8590190:0:2,"Baden, Bahnhof Ost",47,8
86,8590192,"Baden, Schlossbergplatz",47,8
87,8591708,"Baden, Weite Gasse",47,8
88,8572581,"Baden, Kantonsschule",47,8
89,8590300,"Wettingen, Langenstein",47,8
90,8590312,"Wettingen, Winkelried",47,8
91,8578678,"Wettingen, Zentrumsplatz",47,8
92,8590303,"Wettingen, Rebstock",47,8
93,8590306,"Wettingen, Sonne",47,8
94,8590295,"Wettingen, Busgarage",47,8
95,8590299,"Wettingen, Kreuzkapelle",47,8
96,8590315,"Würenlos, Flüefeld",47,8
97,8590313,"Würenlos, Bahnhof",47,8
98,8590316,"Würenlos, Post",47,8
99,8590317,"Würenlos, Raiffeisenbank",47,8
