,0
0,8500010:0:3
1,8500020:0:3
2,8500021:0:5
3,8517131:0:2
4,8500300:0:5
5,8500313:0:2
6,8500301:0:3
7,8500302:0:3
8,8500303:0:2
9,8500320:0:3
10,8500304:0:2
11,8500305:0:1
12,8500010:0:6
13,8500010:0:1
14,8500010:0:4
15,8500010:0:9
16,8500309:0:2
17,8500305:0:3
18,8500304:0:1
19,8500320:0:4
20,8500303:0:3
21,8500302:0:2
22,8500301:0:4
23,8500313:0:1
24,8500300:0:4
25,8517131:0:1
26,8500021:0:4
27,8500020:0:1
28,8500305:0:2
29,8503000:0:15
30,8502119:0:3
31,8502113:0:5
32,8500218:0:8
33,8507000:0:5
34,8504100:0:2
35,8501120:0:5
36,8501008:0:2
37,8501026:0:2
38,8503000:0:41/42
39,8503020:0:4
40,8503001:0:3
41,8503509:0:3
42,8503512:0:1
43,8503508:0:3
44,8503506:0:4
45,8503511:0:1
46,8503505:0:5
47,8503504:0:3
48,8503503:0:4
49,8500309:0:5
50,8502237:0:6
51,8502247:0:6
52,8502105:0:4
53,8502114:0:1
54,8502113:0:4
55,8502113:0:12
56,8519685
57,8502123:0:1
58,8502103:0:7
59,8502189
60,8502160:0:3
61,8502184
62,8502174:0:1
63,8502161:0:1
64,8516450:0:3
65,8502162
66,8502183
67,8502163:0:1
68,8502164:0:2
69,8502165:0:1
70,8502166:0:2
71,8502167:0:1
72,8502176
73,8502168:0:1
74,8502169:0:1
75,8502103
76,8516450:0:2
77,8502113:0:13
78,8502191
79,8502192:0:2
80,8502196:0:2
81,8502182
82,8502181:0:2
83,8502194
84,8502180
85,8502195:0:2
86,8502179
87,8502178:0:2
88,8502197:0:1
89,8502177
90,8502199:0:1
91,8502192:0:1
92,8502197:0:2
93,8502192
94,8502196:0:1
95,8502199:0:2
96,8502113
97,8502169:0:2
98,8502167:0:2
99,8502163:0:2
100,8502160:0:2
101,8502123:0:2
102,8502164:0:1
103,8500309:0:3
104,8503504:0:1
105,8503000:0:10
106,8503000:0:17
107,8500309:0:4
108,8507000:0:8
109,8500218:0:4
110,8502113:0:2
111,8503000
112,8503000:0:8
113,8503000:0:16
114,8507000:0:9
115,8503000:0:18
116,8503000:0:14
117,8503000:0:12
118,8507000:0:10
119,8500218:0:2
120,8500218:0:3
121,8507000:0:7
122,8502273:0:1
123,8502248
124,8502185
125,8502272:0:2
126,8502269:0:2
127,8502271
128,8502213:0:11
129,8517377:0:2
130,8502274
131,8502188:0:1
132,8502275
133,8502268
134,8502276:0:1
135,8502187:0:1
136,8502277:0:1
137,8502278:0:1
138,8502186:0:1
139,8502270
140,8517376
141,8503508:0:11
142,8502272:0:3
143,8502186:0:2
144,8502187:0:2
145,8502276:0:2
146,8502188:0:2
147,8517377:0:1
148,8502269
149,8502213:0:12
150,8502273:0:2
151,8503504:0:2
152,8502119:0:4
153,8502112:0:1
154,8502111:0:2
155,8502110:0:4
156,8500218:0:9
157,8502000:0:3
158,8508103:0:1
159,8508102:0:2
160,8508101:0:3
161,8508100:0:1
162,8502110:0:3
163,8502111:0:4
164,8502112:0:2
165,8502114:0:4
166,8502119:0:2
167,8502247:0:5
168,8502237:0:5
169,8503503:0:3
170,8503504:0:5
171,8508101:0:4
172,8508102:0:1
173,8508103:0:4
174,8502000:0:1
175,8502113:0:1
176,8502119:0:1
177,8500218
178,8500218:0:12
179,8500218:0:11
180,8502113:0:6
181,8502110:0:1
182,8502215:0:3
183,8502213:0:3
184,8502212:0:1
185,8502211:0:2
186,8502105:0:5
187,8502215:0:4
188,8502211:0:3
189,8502212:0:2
190,8502213:0:2
191,8502119:0:6
192,8502211:0:1
193,8502214:0:1
194,8502218:0:3
195,8502219:0:3
196,8502202:0:5
197,8502119:0:5AB
198,8502119:0:5
199,8502216:0:2
200,8502217:0:1
201,8502113:0:4AB
202,8502202:0:6
203,8502219:0:2
204,8502218:0:2
205,8502214:0:2
206,8502119:0:6A
207,8502217:0:2
208,8502216:0:3
209,8502215:0:3DE
210,8502213:0:1
211,8502119:0:6B
212,8503504:0:4
213,8503502
214,8503501:0:1
215,8516176:0:1
216,8500329:0:4
217,8014474:0:5
218,8503501:0:2
219,8503503:0:1
220,8503501
221,8503505:0:3
222,8503409:0:1
223,8503410:0:1
224,8503411:0:1
225,8500329:0:1
226,8503408:0:7
227,8503505:0:1
228,8500329:0:3
229,8502001:0:1
230,8502120:0:1
231,8502121:0:1
232,8502100:0:1
233,8502122:0:1
234,8502101:0:1
235,8502102
236,8502103:0:5
237,8502104:0:2
238,8502103:0:6
239,8502104:0:1
240,8502001:0:40
241,8502100:0:2
242,8500218:0:10
243,8502116:0:1
244,8502128:0:1
245,8502115:0:2
246,8502111:0:3
247,8502113:0:0
248,8502115:0:3
249,8502128:0:2
250,8502116:0:2
251,8503503:0:2
252,8502113:0:3
253,8500218:0:1
254,8502105:0:3
255,8502106:0:4
256,8516219:0:1
257,8503506:0:5
258,8503508:0:4
259,8503512:0:2
260,8503509:0:4
261,8503001:0:4
262,8503020:0:1
263,8503000:0:43/44
264,8516219:0:2
265,8502106:0:3
266,8502105:0:2
267,8503000:0:13
268,8500010:0:11
269,8500010:0:8
270,8500010:0:7
271,8500010:0:12
272,8503000:0:11
273,8500010
274,8500309:0:1
275,8500010:0:5
276,8500023:0:1
277,8500026:0:1
278,8503000:0:9
279,8500026:0:3
280,8500023:0:3
281,8503506:0:6
282,8503508:0:5
283,8503001:0:6
284,8503001:0:7
285,8503508:0:6
286,8502034:0:2
287,8502033:0:2
288,8502032:0:1
289,8502031:0:1
290,8502030:0:2
291,8502119:0:7
292,8502034:0:1
293,8502030:0:1
294,8502033:0:1
295,8506370:0:12
296,8506270
297,8506358
298,8506359
299,8518100
300,8506361
301,8506362
302,8506363
303,8506364
304,8506365
305,8506366
306,8506367
307,8506368
308,8506369
309,8506286:0:3A
310,8506380
311,8506381
312,8506378:0:3
313,8506382
314,8506276
315,8506377
316,8506376
317,8506375
318,8506470
319,8506374
320,8506373:0:1
321,8506372
322,8506371
323,8506370:0:11
324,8506286:0:2
325,8506373:0:2
326,8506286
327,8506370:0:11A
328,8506370:0:11B
329,8506378:0:2
330,8506286:0:3B
331,8506271
332,8506285
333,8506284
334,8506283:0:1
335,8506282
336,8506281
337,8506280
338,8506290:0:11
339,8506210:0:11
340,8506286:0:4A
341,8506286:0:4B
342,8506290:0:13
343,8506283:0:2
344,8506306:0:1
345,8506311:0:1
346,8506278
347,8506400
348,8506352
349,8506353
350,8506354
351,8506355
352,8506313
353,8506351
354,8506350
355,8506290:0:1
356,8506392:0:4
357,8506302:0:5
358,8506302:0:6
359,8506290:0:2
360,8506287:0:2
361,8506302:0:3
362,8506303:0:4
363,8506393:0:3
364,8506392:0:3
365,8506287:0:1
366,8506303:0:1
367,8506302:0:7
368,8506289
369,8506277
370,8506288
371,8506275
372,8506290
373,8500026:0:4
374,8500031:0:1
375,8500032:0:1
376,8500033:0:1
377,8500034:0:1
378,8500035:0:1
379,8500037:0:1
380,8500218:0:1A
381,8500010:0:11AB
382,8500320:0:2
383,8500322:0:1
384,8500320:0:5
385,8505000:0:7
386,8502007:0:3
387,8502001:0:3
388,8500027:0:3
389,8505000:0:5
390,8500010:0:10
391,8505000:0:4
392,8505000:0:3
393,8500010:0:15
394,8505000:0:6
395,8500218:0:7
396,8500027:0:4
397,8502001:0:2
398,8502007:0:1
399,8505000:0:8
400,8505000:0:10
401,8505000
402,8500028:0:4
403,8500025:0:2
404,8500024:0:3
405,8500022:0:2
406,8500021:0:1
407,8500010:0:16
408,8500136:0:2
409,8500119:0:1
410,8500118:0:3
411,8500117:0:3
412,8500116:0:1
413,8500115:0:3
414,8500114:0:3
415,8500113:0:2
416,8500109:0:1
417,8500114:0:4
418,8500115:0:2
419,8500117:0:2
420,8500118:0:2
421,8500119:0:2
422,8500136:0:1
423,8500113:0:3
424,8500109:0:2
425,8500113:0:4
426,8500010:0:17
427,8500021:0:2
428,8500022:0:1
429,8500024:0:1
430,8500025:0:1
431,8500028:0:3
432,8500120:0:1
433,8500121:0:2
434,8500122:0:3
435,8500123:0:3
436,8500124
437,8500125:0:1
438,8500126:0:1
439,8500218:0:10A
440,8500125:0:2
441,8500121:0:1
442,8500020:0:4
443,8505004:0:8
444,8500010:0:14
445,8503000:0:6
446,8500109:0:3
447,8014450
448,8014449
449,8014448
450,8021703
451,8014447
452,8083840
453,8014446
454,8014445
455,8014444
456,8014443
457,8083846
458,8014441
459,8069221
460,8014440
461,8014439
462,8087021
463,8500090
464,8500010:0:2
465,8501609:0:1
466,8501605:0:4
467,8507483:0:3
468,8507100:0:3
469,8507000:0:4
470,8501609:0:6
