,stop,type
0,Basel SBB,Train
1,Zürich HB,Train
2,Olten,Train
3,Laufen,Train
4,Saint-Louis (Haut-Rhin),Train
5,Rheinfelden,Train
6,Liestal,Train
7,Mulhouse Ville,Train
8,Pratteln,Train
9,Sargans,Train
10,Zug,Train
11,Rotkreuz,Train
12,Schaffhausen,Train
13,Aarau,Train
14,Zürich Flughafen,Train
15,Lenzburg,Train
16,Baden,Train
17,Winterthur,Train
18,Thalwil,Train
19,Wädenswil,Train
20,Zollikofen,Train
21,Langenthal,Train
22,Oensingen,Train
23,Luzern,Train
24,Trimbach,Train
25,Solothurn,Train
26,Gelterkinden,Train
27,Zofingen,Train
28,Aarburg-Oftringen,Train
29,Däniken,Train
30,Tecknau,Train
31,Olten Hammer,Train
32,Dulliken,Train
33,Sissach,Train
34,Zwingen,Train
35,Delémont,Train
36,Kaiseraugst,Train
37,Rheinfelden Augarten,Train
38,Stein-Säckingen,Train
39,Möhlin,Train
40,Frick,Train
41,Frenkendorf-Füllinsdorf,Train
42,Lausen,Train
43,Altmarkt,Train
44,Itingen,Train
45,Bantzenheim,Train
46,Pratteln Salina Raurica,Train
47,Mumpf,Train
48,Eiken,Train
49,Laufenburg,Train
50,Brugg AG,Train
51,Turgi,Train
52,Lupfig,Train
53,Schinznach Bad,Train
54,Wildegg,Train
55,Siggenthal-Würenlingen,Train
56,Dietikon,Train
57,Wettingen,Train
58,Birr,Train
59,Schönenwerd SO,Train
60,Rupperswil,Train
61,Aarau Torfeld,Train
62,Binzenhof,Train
63,Holderbank AG,Train
64,Ziegelbrücke,Train
65,Landquart,Train
66,Bad Ragaz,Train
67,Sevelen,Train
68,Flums,Train
69,Walenstadt,Train
70,Mels,Train
71,Buchs SG,Train
72,Arth-Goldau,Train
73,Walchwil,Train
74,Oberrüti,Train
75,Gisikon-Root,Train
76,Immensee,Train
77,Singen (Hohentwiel),Train
78,Bülach,Train
79,Effretikon,Train
80,Hendschiken,Train
81,Othmarsingen,Train
82,Hunzenschwil,Train
83,Seon,Train
84,Dottikon-Dintikon,Train
85,Mägenwil,Train
86,St. Gallen,Train
87,Frauenfeld,Train
88,Wil SG,Train
89,Hettlingen,Train
90,Elgg,Train
91,Kemptthal,Train
92,Andelfingen,Train
93,Marthalen,Train
94,Horgen,Train
95,Oberrieden,Train
96,Rüschlikon,Train
97,Oberrieden Dorf,Train
98,Richterswil,Train
99,Au ZH,Train
100,Burghalden,Train
101,Suhr,Train
102,Hallwil,Train
103,Wohlen AG,Train
104,Mellingen Heitersberg,Train
105,Diepflingen,Train
106,Buchs AG,Train
107,Distelberg,Train
108,"Aarau, Obere Vorstadt",Bus
109,Jegenstorf,Train
110,Münchenbuchsee,Train
111,Schönbühl SBB,Train
112,Burgdorf,Train
113,Oberzollikofen,Train
114,Moosseedorf,Train
115,Rothrist,Train
116,Roggwil-Wynau,Train
117,Herzogenbuchsee,Train
118,Langenthal Süd,Train
119,Langenthal Gaswerk,Train
120,Oberbuchsiten,Train
121,Niederbipp,Train
122,Niederbipp Industrie,Train
123,Klus,Train
124,Sarnen,Train
125,Hergiswil,Train
126,Stans,Train
127,Sursee,Train
128,Eschenbach,Bus
129,Malters,Train
130,Hergiswil Matt,Train
131,Läufelfingen,Train
132,Biberist Ost,Train
133,Grenchen Süd,Train
134,Biel/Bienne,Train
135,Luterbach-Attisholz,Train
136,Solothurn West,Train
137,Biberist RBS,Train
138,Solothurn Baseltor,Train
139,Küngoldingen,Train
140,Brittnau-Wikon,Train
141,Reiden,Train
142,Wangen bei Olten,Train
143,Fribourg/Freiburg,Train
144,Lausanne,Train
145,Romont,Train
146,Düdingen,Train
147,Flamatt,Train
148,Yverdon-les-Bains,Train
149,Morges,Train
150,Vevey,Train
151,Vallorbe,Train
152,Palézieux,Train
153,Puidoux-Chexbres,Train
154,Montreux,Train
155,Cully,Train
156,Bulle,Train
157,Villaz-St-Pierre,Train
158,Vauderens,Train
159,Schmitten,Train
160,Wünnewil,Train
161,Thörishaus Dorf,Train
162,Flamatt Dorf,Train
163,Neuchâtel,Train
164,Chavornay,Train
165,Nyon,Train
166,Allaman,Train
167,La Gottaz,Train
168,Gland,Train
169,Morges-St-Jean,Train
170,St-Prex,Train
171,St-Saphorin,Train
172,Gilamont,Train
173,Vevey-Funi,Train
174,Frasne,Train
175,Labergement-Ste-Marie,Train
176,Le Day,Train
177,Le Pont,Train
178,Croy-Romainmôtier,Train
179,Bossonnens,Train
180,Moreillon,Train
181,Palézieux-Village,Train
182,Oron,Train
183,Grandvaux,Train
184,Chexbres-Village,Train
185,Aigle,Train
186,Sion,Train
187,Villette VD,Train
188,Epesses,Train
