stop,type,population
Basel SBB,Train,166382
Zürich HB,Train,387225
Olten,Train,17687
Laufen,Train,5474
Saint-Louis (Haut-Rhin),Train,-1
Rheinfelden,Train,13187
Liestal,Train,13869
Mulhouse Ville,Train,-1
Pratteln,Train,15931
Sargans,Train,5969
Zug,Train,29048
Rotkreuz,Train,-1
Schaffhausen,Train,35368
Aarau,Train,20367
Zürich Flughafen,Train,387225
Lenzburg,Train,9353
Baden,Train,18887
Winterthur,Train,107697
Thalwil,Train,17624
Wädenswil,Train,21478
Zollikofen,Train,9960
Langenthal,Train,15223
Oensingen,Train,6198
Luzern,Train,79015
Trimbach,Train,6417
Solothurn,Train,16196
Gelterkinden,Train,5913
Zofingen,Train,11163
Aarburg-Oftringen,Train,21105
Däniken,Train,2741
Tecknau,Train,851
Olten Hammer,Train,-1
Dulliken,Train,4834
Sissach,Train,6651
Zwingen,Train,2257
Delémont,Train,12328
Kaiseraugst,Train,5445
Rheinfelden Augarten,Train,-1
Stein-Säckingen,Train,-1
Möhlin,Train,10803
Frick,Train,5264
Frenkendorf-Füllinsdorf,Train,10714
Lausen,Train,5014
Altmarkt,Train,-1
Itingen,Train,2082
Bantzenheim,Train,-1
Pratteln Salina Raurica,Train,-1
Mumpf,Train,1364
Eiken,Train,2222
Laufenburg,Train,3495
Brugg AG,Train,0
Turgi,Train,2994
Lupfig,Train,2359
Schinznach Bad,Train,2205
Wildegg,Train,-1
Siggenthal-Würenlingen,Train,4575
Dietikon,Train,26611
Wettingen,Train,20168
Birr,Train,4447
Schönenwerd SO,Train,0
Rupperswil,Train,5314
Aarau Torfeld,Train,-1
Binzenhof,Train,-1
Holderbank AG,Train,1169
Ziegelbrücke,Train,-1
Landquart,Train,8747
Bad Ragaz,Train,5770
Sevelen,Train,4956
Flums,Train,4848
Walenstadt,Train,5540
Mels,Train,8455
Buchs SG,Train,12378
Arth-Goldau,Train,11559
Walchwil,Train,3588
Oberrüti,Train,1560
Gisikon-Root,Train,5967
Immensee,Train,-1
Singen (Hohentwiel),Train,-1
Bülach,Train,19241
Effretikon,Train,-1
Hendschiken,Train,1195
Othmarsingen,Train,2701
Hunzenschwil,Train,3931
Seon,Train,5037
Dottikon-Dintikon,Train,6036
Mägenwil,Train,2094
St. Gallen,Train,73487
Frauenfeld,Train,24662
Wil SG,Train,23297
Hettlingen,Train,3149
Elgg,Train,4290
Kemptthal,Train,-1
Andelfingen,Train,2203
Marthalen,Train,1916
Horgen,Train,19953
Oberrieden,Train,4961
Rüschlikon,Train,5680
Oberrieden Dorf,Train,-1
Richterswil,Train,13219
Au ZH,Train,0
Burghalden,Train,-1
Suhr,Train,9782
Hallwil,Train,865
Wohlen AG,Train,15609
Mellingen Heitersberg,Train,5298
Diepflingen,Train,740
Buchs AG,Train,7789
Distelberg,Train,-1
"Aarau, Obere Vorstadt",Bus,0
Jegenstorf,Train,5586
Münchenbuchsee,Train,9947
Schönbühl SBB,Train,0
Burgdorf,Train,15990
Oberzollikofen,Train,-1
Moosseedorf,Train,3933
Rothrist,Train,8696
Roggwil-Wynau,Train,1618
Herzogenbuchsee,Train,6890
Langenthal Süd,Train,-1
Langenthal Gaswerk,Train,-1
Oberbuchsiten,Train,2141
Niederbipp,Train,4548
Niederbipp Industrie,Train,-1
Klus,Train,-1
Sarnen,Train,10078
Hergiswil,Train,-1
Stans,Train,8038
Sursee,Train,9530
Eschenbach,Bus,0
Malters,Train,7008
Hergiswil Matt,Train,-1
Läufelfingen,Train,1290
Biberist Ost,Train,8196
Grenchen Süd,Train,16658
Biel/Bienne,Train,53433
Luterbach-Attisholz,Train,3465
Solothurn West,Train,-1
Biberist RBS,Train,0
Solothurn Baseltor,Train,-1
Küngoldingen,Train,-1
Brittnau-Wikon,Train,5300
Reiden,Train,6902
Wangen bei Olten,Train,5001
Fribourg/Freiburg,Train,37087
Lausanne,Train,134085
Romont,Train,-1
Düdingen,Train,7696
Flamatt,Train,-1
Yverdon-les-Bains,Train,29587
Morges,Train,15557
Vevey,Train,19467
Vallorbe,Train,3718
Palézieux,Train,-1
Puidoux-Chexbres,Train,5018
Montreux,Train,24068
Cully,Train,-1
Bulle,Train,21400
Villaz-St-Pierre,Train,-1
Vauderens,Train,-1
Schmitten,Train,-1
Wünnewil,Train,-1
Thörishaus Dorf,Train,-1
Flamatt Dorf,Train,-1
Neuchâtel,Train,32645
Chavornay,Train,4301
Nyon,Train,20092
Allaman,Train,428
La Gottaz,Train,-1
Gland,Train,12931
Morges-St-Jean,Train,-1
St-Prex,Train,-1
St-Saphorin,Train,-1
Gilamont,Train,-1
Vevey-Funi,Train,-1
Frasne,Train,-1
Labergement-Ste-Marie,Train,-1
Le Day,Train,-1
Le Pont,Train,-1
Croy-Romainmôtier,Train,334
Bossonnens,Train,1460
Moreillon,Train,-1
Palézieux-Village,Train,-1
Oron,Train,5356
Grandvaux,Train,-1
Chexbres-Village,Train,2158
Aigle,Train,9852
Sion,Train,33174
Villette VD,Train,0
Epesses,Train,-1
Rivaz,Train,357
Neuenhof,Train,8629
Würenlos,Train,6270
Otelfingen,Train,2800
Döttingen,Train,3809
"Buchs AG, Wynenfeld",Bus,0
"Buchs AG, Industrie",Bus,0
"Buchs AG, Heuweg",Bus,0
"Buchs AG, Altersheim",Bus,0
"Buchs AG, Trieschweg",Bus,0
"Buchs AG, Fabrikweg",Bus,0
"Buchs AG, Gysistrasse",Bus,0
"Buchs AG, Brauerei",Bus,0
"Aarau, Neumattstrasse",Bus,0
"Buchs AG, Torfeld",Bus,0
"Aarau Rohr, Salamatt",Bus,0
"Aarau, Delfterstrasse",Bus,0
"Aarau, Bavaria",Bus,0
"Aarau, Gais",Bus,0
"Buchs AG, Brummelstrasse",Bus,0
"Aarau, Bahnhof",Bus,0
"Aarau, Herzogplatz",Bus,0
"Suhr, Bühlstrasse",Bus,0
"Aarau, Kunsthaus",Bus,0
"Aarau, Kasinopark",Bus,0
"Aarau, Holzmarkt",Bus,0
"Aarau, Aarepark",Bus,0
"Aarau, Berufsschule",Bus,0
"Aarau, Kettenbrücke",Bus,0
"Biberstein, Ihegi",Bus,0
"Aarau, Spital",Bus,0
"Aarau, Schanz",Bus,0
"Aarau, Hirslanden Klinik",Bus,0
"Aarau, Rathaus",Bus,0
"Rombach, Rombacherhof",Bus,0
"Aarau, Alte Badanstalt",Bus,0
"Aarau, Sonnmattweg",Bus,0
"Aarau, Tellizentrum",Bus,0
"Aarau, Allmendweg",Bus,0
"Biberstein, Dorf",Bus,0
"Aarau, Roggenhausen",Bus,0
"Aarau, Buchenhof",Bus,0
"Aarau, Friedhof",Bus,0
"Aarau, Ifang",Bus,0
"Staffelegg, Passhöhe",Bus,0
"Benkerjoch, Passhöhe",Bus,0
"Herznach, Post",Bus,0
"Asp AG, Abzw.",Bus,0
"Küttigen, Grossmatt",Bus,0
"Oberhof, Adlerplatz",Bus,0
"Oberhof, Benkenhöfe",Bus,0
"Küttigen, Fischbach",Bus,0
"Küttigen, Hinterrain",Bus,0
"Küttigen, Stock",Bus,0
"Erlinsbach, Rebberg",Bus,0
"Aarau, Achenbergstrasse",Bus,0
"Küttigen, Post",Bus,0
"Küttigen, Kreuz",Bus,0
"Rombach, Obstgarten",Bus,0
"Küttigen, Abzw. Giebel",Bus,0
"Küttigen, Oberdorf",Bus,0
"Erlinsbach, Oberdorf",Bus,0
"Küttigen, Aabach",Bus,0
"Rombach, Widler",Bus,0
"Küttigen, Benken-Klus",Bus,0
"Erlinsbach, Sagi",Bus,0
"Erlinsbach, Breitmis",Bus,0
"Baden, Ruschebach",Bus,0
"Baden, Ifang",Bus,0
"Turgi, Sitten",Bus,0
"Baden, Kapelle",Bus,0
"Turgi, Wil",Bus,0
"Baden, Schellenacker",Bus,0
"Baden, Römerstrasse",Bus,0
"Baden, Bruggerstrasse",Bus,0
"Rieden AG, Boldi",Bus,0
"Baden, Trafo",Bus,0
"Baden, Bahnhof West",Bus,0
"Rieden AG, Limmatsteg",Bus,0
"Nussbaumen AG, Breite",Bus,0
"Baden, Postautostation",Bus,0
"Baden, Gartenstrasse",Bus,0
"Baden, Bahnhof Ost",Bus,0
"Baden, Grand Casino",Bus,0
"Baden, Stein",Bus,0
"Baden, Rütistrasse",Bus,0
"Baden, Lindenplatz",Bus,0
"Baden, Schulhausplatz",Bus,0
"Baden, Schlossbergplatz",Bus,0
"Baden, Freihof",Bus,0
"Baden, Weite Gasse",Bus,0
"Baden, Kantonsschule",Bus,0
"Baden, Badener Tor",Bus,0
"Baden, Schadenmühle",Bus,0
"Baden, Kreuzliberg",Bus,0
"Baden, Oberstadt",Bus,0
"Niederrohrdorf, Egro",Bus,0
"Baden, Pinte",Bus,0
"Baden, St. Ursus",Bus,0
"Baden, Lindeli",Bus,0
"Baden, Historisches Museum",Bus,0
