"Permanent resident population in private households by institutional units and household size"

"Canton (-) / District (>>) / Commune (......)","Household size - Total 2016"
"Switzerland",8248349
"- Zürich",1458087
">> Bezirk Affoltern",52306
"......0001 Aeugst am Albis",1969
"......0002 Affoltern am Albis",11584
"......0003 Bonstetten",5418
"......0004 Hausen am Albis",3547
"......0005 Hedingen",3672
"......0006 Kappel am Albis",1103
"......0007 Knonau",2157
"......0008 Maschwanden",622
"......0009 Mettmenstetten",4773
"......0010 Obfelden",5081
"......0011 Ottenbach",2573
"......0012 Rifferswil",1075
"......0013 Stallikon",3639
"......0014 Wettswil am Albis",5093
">> Bezirk Andelfingen",30668
"......0021 Adlikon",659
"......0022 Benken (ZH)",851
"......0023 Berg am Irchel",566
"......0024 Buch am Irchel",951
"......0025 Dachsen",1973
"......0026 Dorf",624
"......0027 Feuerthalen",3539
"......0028 Flaach",1348
"......0029 Flurlingen",1426
"......0030 Andelfingen",2203
"......0031 Henggart",2235
"......0032 Humlikon",492
"......0033 Kleinandelfingen",2043
"......0034 Laufen-Uhwiesen",1631
"......0035 Marthalen",1916
"......0036 Oberstammheim",1180
"......0037 Ossingen",1435
"......0038 Rheinau",1275
"......0039 Thalheim an der Thur",916
"......0040 Trüllikon",1059
"......0041 Truttikon",465
"......0042 Unterstammheim",894
"......0043 Volken",336
"......0044 Waltalingen",651
">> Bezirk Bülach",145501
"......0051 Bachenbülach",4040
"......0052 Bassersdorf",11504
"......0053 Bülach",19241
"......0054 Dietlikon",7484
"......0055 Eglisau",5118
"......0056 Embrach",9080
"......0057 Freienstein-Teufen",2302
"......0058 Glattfelden",5000
"......0059 Hochfelden",1951
"......0060 Höri",2666
"......0061 Hüntwangen",1023
"......0062 Kloten",18830
"......0063 Lufingen",2199
"......0064 Nürensdorf",5557
"......0065 Oberembrach",1057
"......0066 Opfikon",19355
"......0067 Rafz",4375
"......0068 Rorbas",2792
"......0069 Wallisellen",15649
"......0070 Wasterkingen",560
