,0,1
0,12.TA.54-3-Y-j18-1.5.H,1175
1,2.TA.42-3-Y-j18-1.1.H,1089
2,1.TA.63-3-Y-j18-1.1.H,30856
3,43.TA.8-50-j18-1.9.H,14812
4,30.TA.20-2-B-j18-1.9.H,866
5,78.TA.20-2-B-j18-1.27.H,890
6,2.TA.79-24-Y-j18-1.2.H,19188
7,60.TA.66-32-Y-j18-1.4.H,207
8,59.TA.66-32-Y-j18-1.3.H,207
9,2.TA.66-117-Y-j18-1.2.H,9902
10,10.TA.66-117-Y-j18-1.2.H,9908
11,16.TA.66-117-Y-j18-1.2.H,9912
12,26.TA.66-117-Y-j18-1.2.H,9920
13,32.TA.66-117-Y-j18-1.2.H,9924
14,38.TA.66-117-Y-j18-1.2.H,9928
15,52.TA.66-117-Y-j18-1.2.H,9940
16,57.TA.66-117-Y-j18-1.2.H,9944
17,61.TA.66-117-Y-j18-1.2.H,9948
18,66.TA.66-117-Y-j18-1.2.H,9952
19,16.TA.66-118-Y-j18-1.2.H,9909
20,22.TA.66-118-Y-j18-1.2.H,9913
21,32.TA.66-118-Y-j18-1.2.H,9921
22,38.TA.66-118-Y-j18-1.2.H,9925
23,44.TA.66-118-Y-j18-1.2.H,9929
24,58.TA.66-118-Y-j18-1.2.H,9941
25,63.TA.66-118-Y-j18-1.2.H,9945
26,67.TA.66-118-Y-j18-1.2.H,9949
27,72.TA.66-118-Y-j18-1.2.H,9953
28,13.TA.66-117-Y-j18-1.2.H,9910
29,19.TA.66-117-Y-j18-1.2.H,9914
30,21.TA.66-117-Y-j18-1.2.H,9916
31,23.TA.66-117-Y-j18-1.2.H,9918
32,29.TA.66-117-Y-j18-1.2.H,9922
33,35.TA.66-117-Y-j18-1.2.H,9926
34,41.TA.66-117-Y-j18-1.2.H,9930
35,45.TA.66-117-Y-j18-1.2.H,9934
36,49.TA.66-117-Y-j18-1.2.H,9938
37,55.TA.66-117-Y-j18-1.2.H,9942
38,59.TA.66-117-Y-j18-1.2.H,9946
39,63.TA.66-117-Y-j18-1.2.H,9950
40,69.TA.66-117-Y-j18-1.2.H,9954
41,19.TA.66-118-Y-j18-1.2.H,9911
42,25.TA.66-118-Y-j18-1.2.H,9915
43,27.TA.66-118-Y-j18-1.2.H,9917
44,29.TA.66-118-Y-j18-1.2.H,9919
45,35.TA.66-118-Y-j18-1.2.H,9923
46,41.TA.66-118-Y-j18-1.2.H,9927
47,47.TA.66-118-Y-j18-1.2.H,9931
48,51.TA.66-118-Y-j18-1.2.H,9935
49,55.TA.66-118-Y-j18-1.2.H,9939
50,61.TA.66-118-Y-j18-1.2.H,9943
51,65.TA.66-118-Y-j18-1.2.H,9947
52,69.TA.66-118-Y-j18-1.2.H,9951
53,79.TA.66-118-Y-j18-1.2.H,9957
54,9.TA.66-130-Y-j18-1.3.H,27
55,9.TA.66-131-Y-j18-1.3.H,28
56,14.TA.66-117-Y-j18-1.1.H,9910
57,20.TA.66-117-Y-j18-1.1.H,9914
58,22.TA.66-117-Y-j18-1.1.H,9916
59,24.TA.66-117-Y-j18-1.1.H,9918
60,30.TA.66-117-Y-j18-1.1.H,9922
61,36.TA.66-117-Y-j18-1.1.H,9926
62,42.TA.66-117-Y-j18-1.1.H,9930
63,46.TA.66-117-Y-j18-1.1.H,9934
64,50.TA.66-117-Y-j18-1.1.H,9938
65,56.TA.66-117-Y-j18-1.1.H,9942
66,60.TA.66-117-Y-j18-1.1.H,9946
67,64.TA.66-117-Y-j18-1.1.H,9950
68,70.TA.66-117-Y-j18-1.1.H,9954
69,20.TA.66-118-Y-j18-1.1.H,9911
70,26.TA.66-118-Y-j18-1.1.H,9915
71,28.TA.66-118-Y-j18-1.1.H,9917
72,30.TA.66-118-Y-j18-1.1.H,9919
73,36.TA.66-118-Y-j18-1.1.H,9923
74,42.TA.66-118-Y-j18-1.1.H,9927
75,48.TA.66-118-Y-j18-1.1.H,9931
76,52.TA.66-118-Y-j18-1.1.H,9935
77,56.TA.66-118-Y-j18-1.1.H,9939
78,62.TA.66-118-Y-j18-1.1.H,9943
79,66.TA.66-118-Y-j18-1.1.H,9947
